,Row.names,Protein.Ids,Protein.Names,Genes,Protein.Description,logFC,AveExpr,t,P.Value,adj.P.Val,B,Type,Label
971,P34932,P34932,HSP74_HUMAN,HSPA4,Heat shock 70 kDa protein 4,0.018350656,25.56007575,0.401082137,0.69728936,0.990371861,-6.154030447,No Change,
972,P34949,P34949,MPI_HUMAN,MPI,Mannose-6-phosphate isomerase,-0.005343452,23.16236561,-0.106225594,0.917627168,0.997839254,-6.232912938,No Change,
973,P35219,P35219,CAH8_HUMAN,CA8,Carbonic anhydrase-related protein,0.026820315,26.2928074,0.668356741,0.519916199,0.950985604,-6.006783823,No Change,
974,P35221,P26232;P35221,CTNA1_HUMAN,CTNNA1,Catenin alpha-1,-0.000914528,21.2103219,-0.017766303,0.98619524,0.999039915,-6.238747926,No Change,
975,P35237,P35237,SPB6_HUMAN,SERPINB6,Serpin B6,-0.000173077,26.0195817,-0.007000053,0.994560557,0.999931129,-6.238889864,No Change,
976,P35241,P35241,RADI_HUMAN,RDX,Radixin,0.005027745,25.19833645,0.145381145,0.887467764,0.997839254,-6.227677868,No Change,
977,P35244,P35244,RFA3_HUMAN,RPA3,Replication protein A 14 kDa subunit,0.044439759,24.91526406,1.439193088,0.182424795,0.790028641,-5.246015845,No Change,
978,P35268,P35268,RL22_HUMAN,RPL22,Large ribosomal subunit protein eL22,0.092659893,24.44017135,1.043849093,0.322554825,0.873454955,-5.691148801,No Change,
979,P35269,P35269,T2FA_HUMAN,GTF2F1,General transcription factor IIF subunit 1,-0.080665453,20.36563227,-2.24910056,0.049764866,0.660320696,-4.102563649,No Change,
980,P35270,P35270,SPRE_HUMAN,SPR,Sepiapterin reductase,0.184594818,22.39335327,1.414266914,0.189414502,0.795932658,-5.276911545,No Change,
981,P35520,P35520,CBS_HUMAN,CBS,Cystathionine beta-synthase,-0.027672876,26.33380986,-0.703493927,0.49873508,0.945139572,-5.982388615,No Change,
982,P35573,P35573,GDE_HUMAN,AGL,Glycogen debranching enzyme,-0.118716607,24.37961486,-1.826538796,0.099509339,0.699476262,-4.727638878,No Change,
983,P35579,P35579,MYH9_HUMAN,MYH9,Myosin-9,-0.086248664,25.43864442,-2.511149191,0.032130906,0.604458593,-3.696947471,No Change,
984,P35580,P35580;Q7Z406,MYH10_HUMAN,MYH10,Myosin-10,-0.085572446,23.37676631,-1.595219214,0.143561975,0.729144966,-5.045313464,No Change,
985,P35606,P35606,COPB2_HUMAN,COPB2,Coatomer subunit beta',0.00618689,22.17315525,0.138739387,0.892571612,0.997839254,-6.228680179,No Change,
986,P35611,P35611,ADDA_HUMAN,ADD1,Alpha-adducin,-0.09898507,25.68521254,-3.424915019,0.007060344,0.504224699,-2.260081392,No Change,
987,P35612,P35612,ADDB_HUMAN,ADD2,Beta-adducin,-0.039082157,23.91696042,-1.195133949,0.261202172,0.84469323,-5.532833466,No Change,
988,P35613,P35613,BASI_HUMAN,BSG,Basigin,0.114727093,19.97562622,1.678373259,0.126016312,0.713522757,-4.933642399,No Change,
989,P35637,P35637,FUS_HUMAN,FUS,RNA-binding protein FUS,-0.028505004,24.06237241,-0.634462316,0.540852177,0.955287478,-6.029240784,No Change,
990,P35658,P35658,NU214_HUMAN,NUP214,Nuclear pore complex protein Nup214,-0.042035588,22.51604051,-1.207121843,0.25676827,0.83989621,-5.519611694,No Change,
991,P35659,P35659,DEK_HUMAN,DEK,Protein DEK,-0.076304859,20.80643429,-1.441823141,0.181700418,0.790028641,-5.242736212,No Change,
992,P35711,P35711,SOX5_HUMAN,SOX5,Transcription factor SOX-5,0.128528622,19.253724,0.792992853,0.447258408,0.929219206,-5.915246079,No Change,
993,P35754,P35754,GLRX1_HUMAN,GLRX,Glutaredoxin-1,-0.061301381,19.20968506,-0.790890738,0.448425991,0.929219206,-5.916903912,No Change,
994,P35790,P35790,CHKA_HUMAN,CHKA,Choline kinase alpha,0.029503904,20.75749622,0.811181944,0.437239917,0.922821792,-5.900741814,No Change,
995,P35813,O75688;P35813,PPM1A_HUMAN,PPM1A,Protein phosphatase 1A,0.016885748,23.22384791,0.58033297,0.575282937,0.959864356,-6.062876184,No Change,
996,P35914,P35914,HMGCL_HUMAN,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",0.056669079,20.84170904,0.667386816,0.520508479,0.950985604,-6.007441207,No Change,
997,P35998,P35998,PRS7_HUMAN,PSMC2,26S proteasome regulatory subunit 7,-0.035066522,25.06959966,-1.201493457,0.258842386,0.842878554,-5.525831281,No Change,
998,P36404,P36404,ARL2_HUMAN,ARL2,ADP-ribosylation factor-like protein 2,0.015150202,23.01156613,0.48964088,0.635568263,0.976675877,-6.112944679,No Change,
999,P36405,P36405,ARL3_HUMAN,ARL3,ADP-ribosylation factor-like protein 3,0.041757228,24.4132552,0.998518978,0.34293973,0.891092116,-5.73534416,No Change,
1000,P36507,P36507,MP2K2_HUMAN,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,-0.564104503,23.1437943,-1.85414559,0.095179501,0.695707826,-4.688359711,No Change,
1001,P36542,P36542,ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",0.052780758,18.25476769,0.479240389,0.642677751,0.977912728,-6.118173848,No Change,
1002,P36543,P36543,VATE1_HUMAN,ATP6V1E1,V-type proton ATPase subunit E 1,-0.040716851,24.79713403,-1.35005012,0.208485915,0.814616529,-5.35490504,No Change,
1003,P36551,P36551,HEM6_HUMAN,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",0.042171638,24.4908725,1.167006455,0.271847432,0.85016485,-5.563477905,No Change,
1004,P36578,P36578,RL4_HUMAN,RPL4,Large ribosomal subunit protein uL4,0.186691546,23.71566376,2.305576097,0.045299703,0.655200991,-4.015974518,No Change,
1005,P36639,P36639,8ODP_HUMAN,NUDT1,Oxidized purine nucleoside triphosphate hydrolase,-0.043486387,24.13261594,-0.839452158,0.421970036,0.921715369,-5.87763618,No Change,
1006,P36776,P36776,LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial",-0.001738515,25.01731529,-0.033021131,0.974345608,0.999039915,-6.238335534,No Change,
1007,P36873,P36873,PP1G_HUMAN,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,0.100811893,23.28971157,1.514674434,0.162603221,0.764633976,-5.150443422,No Change,
1008,P36915,P36915,GNL1_HUMAN,GNL1,Guanine nucleotide-binding protein-like 1,0.004538118,21.73016576,0.038978637,0.969719566,0.999039915,-6.23810723,No Change,
1009,P36954,P36954,RPB9_HUMAN,POLR2I,DNA-directed RNA polymerase II subunit RPB9,-0.009299947,21.63847732,-0.217462127,0.83247723,0.997839254,-6.213807445,No Change,
1010,P36955,P36955,PEDF_HUMAN,SERPINF1,Pigment epithelium-derived factor,-0.066746512,20.34007142,-0.872211475,0.404736271,0.916822821,-5.850017402,No Change,
1011,P36957,P36957,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",-0.003957052,24.16254147,-0.117639554,0.908819033,0.997839254,-6.231554613,No Change,
1012,P36959,P36959,GMPR1_HUMAN,GMPR,GMP reductase 1,-0.012748989,24.11690518,-0.369181903,0.720139573,0.991575893,-6.166900326,No Change,
1013,P36969,P36969,GPX4_HUMAN,GPX4,Phospholipid hydroperoxide glutathione peroxidase GPX4,0.002929535,22.73954252,0.091507775,0.929002132,0.997839254,-6.234460451,No Change,
1014,P37108,P37108,SRP14_HUMAN,SRP14,Signal recognition particle 14 kDa protein,0.029905934,24.7850229,0.802906808,0.44177907,0.925948531,-5.9073759,No Change,
1015,P37198,P37198,NUP62_HUMAN,NUP62,Nuclear pore glycoprotein p62,0.096402951,22.32637655,1.508899422,0.164050324,0.76643903,-5.157859312,No Change,
1016,P37235,P37235,HPCL1_HUMAN,HPCAL1,Hippocalcin-like protein 1,0.013570528,20.09067281,0.146163305,0.886867067,0.997839254,-6.227556762,No Change,
1017,P37275,P37275,ZEB1_HUMAN,ZEB1,Zinc finger E-box-binding homeobox 1,-0.065491082,18.71028149,-0.975369887,0.353713486,0.895481436,-5.757307726,No Change,
1018,P37802,P37802,TAGL2_HUMAN,TAGLN2,Transgelin-2,-0.084045297,28.09046385,-1.950366158,0.081425185,0.69396713,-4.549502531,No Change,
1019,P37837,P37837,TALDO_HUMAN,TALDO1,Transaldolase,0.005914842,26.36037342,0.189490334,0.853721475,0.997839254,-6.219839461,No Change,
1020,P38117,P38117,ETFB_HUMAN,ETFB,Electron transfer flavoprotein subunit beta,0.001268881,25.81664208,0.033917848,0.973649233,0.999039915,-6.238303585,No Change,
1021,P38159,P38159;Q96E39,RBMX_HUMAN,RBMX,"RNA-binding motif protein, X chromosome",-0.209394242,21.7542201,-1.925190948,0.084831483,0.69396713,-4.586113514,No Change,
1022,P38606,P38606,VATA_HUMAN,ATP6V1A,V-type proton ATPase catalytic subunit A,-0.041948952,25.00833842,-1.691085573,0.123511705,0.711856382,-4.916307468,No Change,
1023,P38646,P38646,GRP75_HUMAN,HSPA9,"Stress-70 protein, mitochondrial",-0.010947774,27.3345183,-0.341458747,0.740238264,0.991575893,-6.177244019,No Change,
1024,P38919,P38919,IF4A3_HUMAN,EIF4A3,Eukaryotic initiation factor 4A-III,0.018985728,22.41258941,0.278674844,0.786504585,0.996485993,-6.197750947,No Change,
1025,P39019,P39019,RS19_HUMAN,RPS19,Small ribosomal subunit protein eS19,0.033285161,23.03945356,0.468329759,0.650177177,0.980751985,-6.12354473,No Change,
1026,P39023,P39023,RL3_HUMAN,RPL3,Large ribosomal subunit protein uL3,0.151709897,23.82180849,2.154049654,0.058264293,0.668805649,-4.246976811,No Change,
1027,P39059,P39059,COFA1_HUMAN,COL15A1,Collagen alpha-1(XV) chain,-0.184360145,17.39129986,-1.643150345,0.133197948,0.722940529,-4.981315701,No Change,
1028,P39687,P39687,AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.043291378,28.3150952,1.654549199,0.130834388,0.720618588,-4.965946005,No Change,
1029,P39748,P39748,FEN1_HUMAN,FEN1,Flap endonuclease 1,-0.068368587,24.47704054,-1.845228995,0.096558441,0.697353077,-4.701074945,No Change,
1030,P40121,P40121,CAPG_HUMAN,CAPG,Macrophage-capping protein,-0.016952681,25.27018333,-0.430074745,0.676795195,0.986814215,-6.141442109,No Change,
1031,P40222,P40222,TXLNA_HUMAN,TXLNA,Alpha-taxilin,-0.048734742,22.27174074,-1.235340857,0.246571295,0.830705952,-5.488114701,No Change,
1032,P40227,P40227,TCPZ_HUMAN,CCT6A,T-complex protein 1 subunit zeta,-0.014303662,27.64458414,-0.482351306,0.640547166,0.976675877,-6.116620916,No Change,
1033,P40306,P40306,PSB10_HUMAN,PSMB10,Proteasome subunit beta type-10,-0.065073732,16.9768429,-0.350425522,0.733713996,0.991575893,-6.173984371,No Change,
1034,P40425,P40424;P40425;P40426,PBX2_HUMAN,PBX2,Pre-B-cell leukemia transcription factor 2,-0.022225673,20.41958305,-0.575947687,0.578124596,0.959864356,-6.065479648,No Change,
1035,P40429,P40429;Q6NVV1,RL13A_HUMAN,RPL13A,Large ribosomal subunit protein uL13,0.207535561,23.12656308,1.830013138,0.098954534,0.69821737,-4.722710057,No Change,
1036,P40616,P40616,ARL1_HUMAN,ARL1,ADP-ribosylation factor-like protein 1,0.055072368,22.96711077,1.291332995,0.227318325,0.823729519,-5.424105806,No Change,
1037,P40763,P40763,STAT3_HUMAN,STAT3,Signal transducer and activator of transcription 3,-0.024894702,23.45094909,-0.42228175,0.682277409,0.986814215,-6.144908794,No Change,
1038,P40855,P40855,PEX19_HUMAN,PEX19,Peroxisomal biogenesis factor 19,0.03952589,23.18021489,0.476306027,0.644690563,0.978343977,-6.119629891,No Change,
1039,P40925,P40925,MDHC_HUMAN,MDH1,"Malate dehydrogenase, cytoplasmic",-0.007297163,28.40575011,-0.252950858,0.805730103,0.996485993,-6.204974582,No Change,
1040,P40926,P40926,MDHM_HUMAN,MDH2,"Malate dehydrogenase, mitochondrial",0.014126461,29.1855799,0.496691181,0.630770983,0.976496412,-6.109339371,No Change,
1041,P40939,P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",-0.15779509,24.18044699,-1.793380762,0.104951114,0.703404725,-4.774462338,No Change,
1042,P41091,P41091;Q2VIR3,IF2G_HUMAN,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,-0.029221138,23.85371863,-0.929232471,0.375924093,0.907711774,-5.799829832,No Change,
1043,P41134,P41134,ID1_HUMAN,ID1,DNA-binding protein inhibitor ID-1,0.041336898,20.26356531,1.193687498,0.26174131,0.84469323,-5.534422328,No Change,
1044,P41162,P41162,ETV3_HUMAN,ETV3,ETS translocation variant 3,0.072072954,17.23535555,1.080289694,0.306845374,0.859974907,-5.654507547,No Change,
1045,P41208,P41208,CETN2_HUMAN,CETN2,Centrin-2,0.064702914,19.0435417,1.096883616,0.299890044,0.859733732,-5.637500918,No Change,
1046,P41223,P41223,BUD31_HUMAN,BUD31,Protein BUD31 homolog,-0.081549576,19.73921813,-0.939885066,0.370708472,0.906785063,-5.790161898,No Change,
1047,P41227,P41227;Q9BSU3,NAA10_HUMAN,NAA10,N-alpha-acetyltransferase 10,-0.125092071,24.27122078,-1.674749054,0.126738747,0.713522757,-4.938572088,No Change,
1048,P41236,P41236,IPP2_HUMAN,PPP1R2,Protein phosphatase inhibitor 2,-0.020446671,22.35032039,-0.488376475,0.636430507,0.976675877,-6.113586088,No Change,
1049,P41240,P41240,CSK_HUMAN,CSK,Tyrosine-protein kinase CSK,-0.001633767,22.72199932,-0.016542246,0.987146257,0.999039915,-6.238770281,No Change,
1050,P41250,P41250,GARS_HUMAN,GARS1,Glycine--tRNA ligase,0.007674886,26.65838858,0.211430921,0.837046462,0.997839254,-6.215177515,No Change,
1051,P41252,P41252,SYIC_HUMAN,IARS1,"Isoleucine--tRNA ligase, cytoplasmic",-0.05586988,25.5634273,-0.435328994,0.673110149,0.986750725,-6.13907043,No Change,
1052,P41567,P41567;O60739,EIF1_HUMAN,EIF1,Eukaryotic translation initiation factor 1,0.009782156,23.33989718,0.285738592,0.781251125,0.996169381,-6.195647045,No Change,
1053,P41743,P41743,KPCI_HUMAN,PRKCI,Protein kinase C iota type,0.044236192,21.96278669,1.115841949,0.292094259,0.856721486,-5.617829116,No Change,
1054,P42025,P42025,ACTY_HUMAN,ACTR1B,Beta-centractin,-0.063938085,20.47970952,-0.930595646,0.375253736,0.907711774,-5.798597729,No Change,
1055,P42126,P42126,ECI1_HUMAN,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",0.021255959,26.03671214,0.715064028,0.491878832,0.944034648,-5.974110243,No Change,
1056,P42166,P42166;P42167,LAP2A_HUMAN,TMPO,"Lamina-associated polypeptide 2, isoform alpha",-0.049358732,22.39965158,-1.248249696,0.24201796,0.828510248,-5.473534037,No Change,
1057,P42224,P42224,STAT1_HUMAN,STAT1,Signal transducer and activator of transcription 1-alpha/beta,0.034803749,24.4288011,0.601034362,0.561973133,0.955287478,-6.050339155,No Change,
1058,P42226,P42226,STAT6_HUMAN,STAT6,Signal transducer and activator of transcription 6,-0.005291134,20.38218713,-0.153888767,0.880938067,0.997839254,-6.226325849,No Change,
1059,P42229,P42229,STA5A_HUMAN,STAT5A,Signal transducer and activator of transcription 5A,-0.051789541,24.46876408,-0.849934332,0.416401721,0.921715369,-5.868896746,No Change,
1060,P42285,P42285,MTREX_HUMAN,MTREX,Exosome RNA helicase MTR4,-0.004903958,22.15337359,-0.10163268,0.921174913,0.997839254,-6.233420536,No Change,
1061,P42566,P42566,EPS15_HUMAN,EPS15,Epidermal growth factor receptor substrate 15,-0.027151662,22.14892047,-0.414020224,0.688110641,0.987043952,-6.148517319,No Change,
1062,P42574,P42574,CASP3_HUMAN,CASP3,Caspase-3,-0.012776463,24.83255479,-0.290496798,0.777718876,0.996080397,-6.194200683,No Change,
1063,P42575,P42575,CASP2_HUMAN,CASP2,Caspase-2,0.107358413,19.68745007,1.397166577,0.194341583,0.802805896,-5.29790896,No Change,
1064,P42677,P42677;Q71UM5,RS27_HUMAN,RPS27,Small ribosomal subunit protein eS27,0.088275838,24.79905085,1.338427227,0.212106003,0.814616529,-5.368766994,No Change,
1065,P42684,P42684,ABL2_HUMAN,ABL2,Tyrosine-protein kinase ABL2,0.02597932,19.34425999,0.441109358,0.669066661,0.986568898,-6.136429371,No Change,
1066,P42704,P42704,LPPRC_HUMAN,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",0.017634108,25.27772265,0.246502853,0.810571313,0.997839254,-6.20667726,No Change,
1067,P42765,P42765,THIM_HUMAN,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",0.006631104,23.77632838,0.134480026,0.89584746,0.997839254,-6.229298403,No Change,
1068,P42766,P42766,RL35_HUMAN,RPL35,Large ribosomal subunit protein uL29,0.083538301,21.41510382,1.055946624,0.317272972,0.871836384,-5.679093212,No Change,
1069,P42768,P42768,WASP_HUMAN,WAS,Actin nucleation-promoting factor WAS,-0.027302875,20.46093034,-0.50588712,0.624540918,0.975777495,-6.104563535,No Change,
1070,P42773,P42773,CDN2C_HUMAN,CDKN2C,Cyclin-dependent kinase 4 inhibitor C,0.001319381,21.16050084,0.0161538,0.98744806,0.999039915,-6.238777041,No Change,
1071,P42785,P42785,PCP_HUMAN,PRCP,Lysosomal Pro-X carboxypeptidase,0.039292454,23.77648594,0.621397611,0.549051674,0.955287478,-6.037611572,No Change,
1072,P42898,P42898,MTHR_HUMAN,MTHFR,Methylenetetrahydrofolate reductase (NADPH),0.034657523,21.39608831,0.336247574,0.744040013,0.991575893,-6.179100572,No Change,
1073,P43034,P43034,LIS1_HUMAN,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit beta,-0.020014435,24.3490335,-0.553499433,0.592790563,0.96468751,-6.078518587,No Change,
1074,P43243,P43243,MATR3_HUMAN,MATR3,Matrin-3,0.047735403,22.54121647,0.841938932,0.420644431,0.921715369,-5.875571233,No Change,
1075,P43246,P43246,MSH2_HUMAN,MSH2,DNA mismatch repair protein Msh2,0.000684903,25.16998663,0.0183315,0.985756125,0.999039915,-6.238737065,No Change,
1076,P43251,P43251,BTD_HUMAN,BTD,Biotinidase,-0.040920775,19.34467057,-0.815381176,0.434948519,0.922407606,-5.897352843,No Change,
1077,P43355,P43355;P43358;P43361;Q96M61;P43363;O60732;A2A368;A8MXT2;O15480,MAGA1_HUMAN,MAGEA1,Melanoma-associated antigen 1,0.147130514,21.81612757,3.673857494,0.004727501,0.471041069,-1.876378948,No Change,
1078,P43378,P43378,PTN9_HUMAN,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,0.057632153,18.8246616,1.219961838,0.252086903,0.832488741,-5.505344753,No Change,
1079,P43487,P43487,RANG_HUMAN,RANBP1,Ran-specific GTPase-activating protein,-0.007530127,28.77702046,-0.237282214,0.817508892,0.997839254,-6.209036693,No Change,
1080,P43490,P43490,NAMPT_HUMAN,NAMPT,Nicotinamide phosphoribosyltransferase,-0.028273459,25.09494333,-0.9909911,0.346416192,0.891647976,-5.742531991,No Change,
1081,P43686,P43686,PRS6B_HUMAN,PSMC4,26S proteasome regulatory subunit 6B,-0.040141947,25.437344,-1.322892442,0.217026905,0.816855133,-5.387169305,No Change,
1082,P45954,P45954,ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.00589095,22.19841564,0.183855349,0.858016799,0.997839254,-6.220955098,No Change,
1083,P45973,P45973,CBX5_HUMAN,CBX5,Chromobox protein homolog 5,0.01974873,20.78376489,0.594388858,0.56622687,0.956944079,-6.054408075,No Change,
1084,P45974,P45974,UBP5_HUMAN,USP5,Ubiquitin carboxyl-terminal hydrolase 5,0.002175918,25.58016092,0.07955191,0.938255057,0.997839254,-6.235548273,No Change,
1085,P45983,P45983,MK08_HUMAN,MAPK8,Mitogen-activated protein kinase 8,0.125400522,20.36773126,2.832183029,0.018778133,0.556121639,-3.191656009,No Change,
1086,P45984,P45984,MK09_HUMAN,MAPK9,Mitogen-activated protein kinase 9,0.173978542,20.79666923,2.912178795,0.016432842,0.544897433,-3.065260371,No Change,
1087,P46013,P46013,KI67_HUMAN,MKI67,Proliferation marker protein Ki-67,0.017514391,18.31736244,0.185795636,0.856537235,0.997839254,-6.220574725,No Change,
1088,P46060,P46060,RAGP1_HUMAN,RANGAP1,Ran GTPase-activating protein 1,-0.072345441,25.32052839,-1.712345699,0.119423864,0.708582144,-4.887167414,No Change,
1089,P46063,P46063,RECQ1_HUMAN,RECQL,ATP-dependent DNA helicase Q1,0.025525678,22.55090468,0.951428304,0.365116097,0.902707554,-5.779583523,No Change,
1090,P46108,P46108,CRK_HUMAN,CRK,Adapter molecule crk,0.004384457,23.33175121,0.155513091,0.879692436,0.997839254,-6.226059019,No Change,
1091,P46109,P46109,CRKL_HUMAN,CRKL,Crk-like protein,0.039982425,27.38345436,0.950938337,0.36535222,0.902707554,-5.780034685,No Change,
1092,P46379,P46379,BAG6_HUMAN,BAG6,Large proline-rich protein BAG6,0.005878985,23.77915189,0.122720808,0.904901962,0.997839254,-6.230905494,No Change,
1093,P46527,P46527,CDN1B_HUMAN,CDKN1B,Cyclin-dependent kinase inhibitor 1B,0.063799347,18.27149678,0.918019936,0.38147066,0.909034652,-5.809907566,No Change,
1094,P46736,P46736,BRCC3_HUMAN,BRCC3,Lys-63-specific deubiquitinase BRCC36,-0.007014115,22.58077978,-0.198531267,0.846840543,0.997839254,-6.21797971,No Change,
1095,P46776,P46776,RL27A_HUMAN,RPL27A,Large ribosomal subunit protein uL15,0.19721896,24.00597155,2.098188676,0.063896776,0.671092595,-4.330967762,No Change,
1096,P46777,P46777,RL5_HUMAN,RPL5,Large ribosomal subunit protein uL18,0.012384413,23.87057924,0.358404701,0.727927079,0.991575893,-6.171014608,No Change,
1097,P46778,P46778,RL21_HUMAN,RPL21,Large ribosomal subunit protein eL21,0.155186432,21.69003336,2.109599021,0.0627053,0.668805649,-4.313868923,No Change,
1098,P46779,P46779,RL28_HUMAN,RPL28,Large ribosomal subunit protein eL28,0.14770575,21.83761314,1.897584376,0.088720551,0.69396713,-4.62603656,No Change,
1099,P46781,P46781,RS9_HUMAN,RPS9,Small ribosomal subunit protein uS4,0.168797716,24.47031918,1.863385231,0.093769966,0.695707826,-4.675155453,No Change,
1100,P46782,P46782,RS5_HUMAN,RPS5,Small ribosomal subunit protein uS7,0.084597834,24.31057548,1.338044979,0.212225952,0.814616529,-5.369221524,No Change,
1101,P46783,P46783,RS10_HUMAN,RPS10,Small ribosomal subunit protein eS10,0.126982626,22.97864544,2.635061407,0.026110951,0.600896957,-3.502563598,No Change,
1102,P46821,P46821,MAP1B_HUMAN,MAP1B,Microtubule-associated protein 1B,-0.02031898,23.2202562,-0.433326686,0.674513388,0.986750725,-6.139977497,No Change,
1103,P46926,P46926;Q8TDQ7,GNPI1_HUMAN,GNPDA1,Glucosamine-6-phosphate isomerase 1,0.026221116,24.84241296,0.896158497,0.392452544,0.914279647,-5.829263739,No Change,
1104,P46940,P46940,IQGA1_HUMAN,IQGAP1,Ras GTPase-activating-like protein IQGAP1,-0.000886584,25.89174959,-0.016543019,0.987145656,0.999039915,-6.238770267,No Change,
1105,P46976,P46976,GLYG_HUMAN,GYG1,Glycogenin-1,-0.016064005,22.06080585,-0.545499721,0.598064702,0.964849376,-6.083048139,No Change,
1106,P47224,P47224,MSS4_HUMAN,RABIF,Guanine nucleotide exchange factor MSS4,0.049482592,23.70645281,1.073592636,0.309687467,0.862732814,-5.661314609,No Change,
1107,P47712,P47712,PA24A_HUMAN,PLA2G4A,Cytosolic phospholipase A2,-0.103180457,20.83358469,-1.42977218,0.185040013,0.794207412,-5.257732835,No Change,
1108,P47736,P47736,RPGP1_HUMAN,RAP1GAP,Rap1 GTPase-activating protein 1,0.024297972,19.18998415,0.265811407,0.796100385,0.996485993,-6.201449206,No Change,
1109,P47755,P47755,CAZA2_HUMAN,CAPZA2,F-actin-capping protein subunit alpha-2,0.021529562,23.22625562,0.606301581,0.558614449,0.955287478,-6.047084464,No Change,
1110,P47756,P47756,CAPZB_HUMAN,CAPZB,F-actin-capping protein subunit beta,0.001320588,26.09922349,0.042197376,0.967220677,0.999039915,-6.237968166,No Change,
1111,P47813,P47813;O14602,IF1AX_HUMAN,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",-0.021818225,23.60657989,-0.515707306,0.617922319,0.973803082,-6.099372124,No Change,
1112,P47914,P47914,RL29_HUMAN,RPL29,Large ribosomal subunit protein eL29,0.028962103,23.65368368,0.246045731,0.810914847,0.997839254,-6.206796322,No Change,
1113,P47985,P47985;P0C7P4,UCRI_HUMAN,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",-0.02612043,22.85394951,-0.487049562,0.637335996,0.976675877,-6.114257514,No Change,
1114,P48059,P48059,LIMS1_HUMAN,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1,-0.017228433,24.33448313,-0.374644301,0.716205315,0.991575893,-6.164769843,No Change,
1115,P48147,P48147,PPCE_HUMAN,PREP,Prolyl endopeptidase,0.000208209,22.93661686,0.004957619,0.996147628,1,-6.238902864,No Change,
1116,P48163,P48163,MAOX_HUMAN,ME1,NADP-dependent malic enzyme,0.067420811,22.96124349,1.92037106,0.08549874,0.69396713,-4.593100863,No Change,
1117,P48200,P48200,IREB2_HUMAN,IREB2,Iron-responsive element-binding protein 2,-0.004528887,22.12528684,-0.115377967,0.910563299,0.997839254,-6.231834727,No Change,
1118,P48378,P48378;P48380,RFX2_HUMAN,RFX2,DNA-binding protein RFX2,-0.072492338,20.57478774,-1.268407485,0.235045726,0.828510248,-5.450552843,No Change,
1119,P48382,P48382,RFX5_HUMAN,RFX5,DNA-binding protein RFX5,-0.158745333,17.47570154,-2.21992471,0.052236837,0.660320696,-4.147077307,No Change,
1120,P48426,P48426;P78356,PI42A_HUMAN,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,0.180273901,22.26103166,2.107165711,0.062957584,0.668805649,-4.317517871,No Change,
1121,P48444,P48444,COPD_HUMAN,ARCN1,Coatomer subunit delta,-0.024897271,22.69281941,-0.817382527,0.433859287,0.921715369,-5.895732347,No Change,
1122,P48454,P48454,PP2BC_HUMAN,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,0.120503372,20.7325326,1.830772373,0.098833678,0.69821737,-4.721632419,No Change,
1123,P48506,P48506,GSH1_HUMAN,GCLC,Glutamate--cysteine ligase catalytic subunit,-0.029406017,21.71943988,-1.026716573,0.330148888,0.879027123,-5.708035049,No Change,
1124,P48507,P48507,GSH0_HUMAN,GCLM,Glutamate--cysteine ligase regulatory subunit,0.037647002,22.39171807,1.319728964,0.21804063,0.816855133,-5.390899021,No Change,
1125,P48556,P48556,PSMD8_HUMAN,PSMD8,26S proteasome non-ATPase regulatory subunit 8,-0.024721601,25.384151,-0.871229544,0.405245625,0.916822821,-5.850858279,No Change,
1126,P48634,P48634,PRC2A_HUMAN,PRRC2A,Protein PRRC2A,-0.041659211,21.27427911,-0.998337423,0.343023268,0.891092116,-5.735518027,No Change,
1127,P48637,P48637,GSHB_HUMAN,GSS,Glutathione synthetase,0.031453268,25.94750048,1.161535469,0.27395772,0.85016485,-5.569376127,No Change,
1128,P48643,P48643,TCPE_HUMAN,CCT5,T-complex protein 1 subunit epsilon,-0.009721815,27.66661358,-0.389882027,0.70527709,0.990855583,-6.158666523,No Change,
